Jugador,Nacionalidad,Posicion,Edad,Dia_partido,Goles,Tiros Totales,xG,npxG,xAG,xAG.1,Acciones_que_crean_tiros,Pases_intentados,Pases_intentados.1,Pases_intentados.2,Pases_progresivos,Pases_progresivos.1,Regates_exitosos,Regates_exitosos.1,Pases_medios_completados,Pases_largos_completados,xAG.2,xAG.3,xA,Pases_en_ultimo_tercio,Pases_balon_vivo,Pases_balon_muerto,Pases_al_hueco,Pases_centros,Pases_completados,Pases_completados.1,Pases_completados.2,Pases_fuera_de_juego,Valla_no_vencida,Errores_defnsivos_ocasion_tiro,Toques_en_zona_ofensiva,Toques_en_area_rival,%_de_regates_exitosos,Veces_que_fue_barrido_regate,Acarreos_ultimo_tercio,Malos_controles,Perdida_balon,Pases_recibidos,Pases_progresivos_recibidos,Faltas_cometidas,Centros,Duelos_aereos_ganados,%_de_duelos_aereos_ganados,contract_date,market_value
Robin Koch,de GER,CB,28-255,"Saturday March 29, 2025",0,1,0.1,0.1,0.0,0.0,1,50,50,50,2,2,0,0,23,2,0.0,0.0,0.1,1,46,4,0,0,40,40,40,0,0,0,2,0,,0,0,0,0,34,1,0,0,4,66.7,30.06.2030,3.726863121206925
Adam Hlozek,cz CZE,"RW,LW",22-121,"Saturday November 23, 2024",2,7,0.5,0.5,0.1,0.1,3,31,31,31,4,4,1,1,5,3,0.1,0.1,0.0,1,31,0,0,0,24,24,24,0,1,0,22,6,33.3,2,1,3,2,36,7,3,0,1,100.0,30.06.2029,74.8239779711523
Robin Koch,de GER,CB,28-059,"Saturday September 14, 2024",0,0,0.0,0.0,0.0,0.0,0,43,43,43,2,2,0,0,21,2,0.0,0.0,0.0,2,40,3,0,0,36,36,36,0,8,1,1,1,,0,0,0,0,31,0,1,0,4,66.7,30.06.2030,23.562390511970836
Can Uzun,tr TUR,FW,19-064,"Tuesday January 14, 2025",0,0,0.0,0.0,0.0,0.0,0,5,5,5,1,1,0,0,2,0,0.0,0.0,0.0,0,5,0,0,0,5,5,5,0,0,0,3,0,,0,1,1,0,6,0,0,0,0,,30.06.2029,7.772394204860998
Robin Koch,de GER,CB,28-181,"Tuesday January 14, 2025",1,2,0.5,0.5,0.0,0.0,1,75,75,75,4,4,0,0,37,7,0.0,0.0,0.0,6,73,2,0,0,69,69,69,0,7,0,3,2,,0,0,0,0,65,0,0,0,3,60.0,30.06.2030,59.625188740772955
Nicolas Seiwald,at AUT,DM,23-112,"Saturday August 24, 2024",0,0,0.0,0.0,0.0,0.0,1,31,31,31,4,4,0,0,13,3,0.0,0.0,0.0,2,31,0,0,1,26,26,26,0,0,0,3,0,,0,1,0,0,23,0,2,1,0,,30.06.2028,6.319157739515774
Noah Atubolu,de GER,GK,22-234,"Tuesday January 14, 2025",0,0,0.0,0.0,0.0,0.0,0,42,42,42,0,0,0,0,10,18,0.0,0.0,0.0,2,30,12,0,0,30,30,30,0,0,0,0,0,,0,0,0,0,23,0,0,0,1,100.0,-,31.21581831009971
Nicolas Seiwald,at AUT,CM,23-329,"Saturday March 29, 2025",0,0,0.0,0.0,0.1,0.1,1,69,69,69,10,10,0,0,21,4,0.1,0.1,0.2,12,68,0,0,0,59,59,59,1,0,0,23,1,0.0,1,3,1,0,50,1,1,0,3,75.0,30.06.2028,58.064180136852045
Amine Adli,ma MAR,AM,24-127,"Saturday September 14, 2024",0,0,0.0,0.0,0.0,0.0,1,7,7,7,0,0,1,1,1,0,0.0,0.0,0.0,0,7,0,0,0,7,7,7,0,1,0,5,0,50.0,1,0,1,0,9,0,0,0,0,,30.06.2030,6.4172866465345795
Nicolas Seiwald,at AUT,CM,24-006,"Saturday May 10, 2025",0,2,0.1,0.1,0.0,0.0,1,47,47,47,2,2,0,0,18,1,0.0,0.0,0.0,1,45,2,0,1,41,41,41,0,4,0,10,0,,0,0,1,0,36,2,2,1,1,100.0,30.06.2028,14.323843219563292
Nicolas Seiwald,at AUT,CB,23-256,"Wednesday January 15, 2025",0,0,0.0,0.0,0.0,0.0,1,47,47,47,4,4,0,0,20,4,0.0,0.0,0.0,3,45,2,0,1,37,37,37,0,7,0,6,0,,0,0,0,2,37,0,2,1,0,0.0,30.06.2028,14.585401794458605
Can Uzun,tr TUR,"LM,RM",19-067,"Friday January 17, 2025",0,0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,2,0,0,0,0,,30.06.2029,7.4562123479598466
Waldemar Anton,de GER,CB,28-055,"Friday September 13, 2024",0,0,0.0,0.0,0.0,0.0,0,74,74,74,7,7,0,0,32,3,0.0,0.0,0.0,6,73,1,0,0,70,70,70,0,4,0,1,0,,0,1,0,0,65,1,1,0,3,60.0,30.06.2028,11.956100213132151
Waldemar Anton,de GER,RB,28-238,"Saturday March 15, 2025",0,0,0.0,0.0,0.0,0.0,3,93,93,93,9,9,2,2,23,6,0.0,0.0,0.1,6,81,12,0,8,73,73,73,0,4,0,38,1,100.0,0,2,1,0,68,9,0,8,1,50.0,30.06.2028,33.003301229263165
Nicolas Seiwald,at AUT,CM,23-266,"Saturday January 25, 2025",0,0,0.0,0.0,0.0,0.0,3,46,46,46,7,7,0,0,14,5,0.0,0.0,0.2,8,46,0,0,3,41,41,41,0,1,0,9,2,,0,1,0,0,38,1,0,3,0,0.0,30.06.2028,30.6080890178849
El Chadaille Bitshiabu,fr FRA,CB,19-254,"Saturday January 25, 2025",0,0,0.0,0.0,0.0,0.0,0,94,94,94,10,10,0,0,35,4,0.0,0.0,0.1,14,94,0,0,0,83,83,83,0,3,0,7,1,,0,2,1,0,81,0,0,0,1,50.0,30.06.2029,48.996945976269174
Waldemar Anton,de GER,FW,28-231,"Saturday March 8, 2025",0,0,0.0,0.0,0.1,0.1,1,2,2,2,1,1,0,0,0,0,0.1,0.1,0.0,0,2,0,0,0,1,1,1,0,0,0,2,0,,0,0,0,0,1,1,0,0,0,0.0,30.06.2028,6.9229014079730025
El Chadaille Bitshiabu,fr FRA,CB,19-177,"Saturday November 9, 2024",0,0,0.0,0.0,0.0,0.0,1,79,79,79,11,11,0,0,47,2,0.0,0.0,0.0,11,75,4,0,2,66,66,66,0,4,0,8,2,,0,0,2,0,66,2,2,2,2,100.0,30.06.2029,28.156958693490964
Nicolas Seiwald,at AUT,CM,23-189,"Saturday November 9, 2024",0,1,0.0,0.0,0.0,0.0,0,12,12,12,0,0,0,0,6,1,0.0,0.0,0.0,0,11,1,0,0,10,10,10,0,0,0,5,1,,0,0,0,0,10,1,0,0,0,,30.06.2028,17.32719590522683
Waldemar Anton,de GER,RB,28-189,"Saturday January 25, 2025",0,1,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,2,0,1,1,,0,0,0,0,0,0,0,0,0,,30.06.2028,9.600762416436854
Adam Hlozek,cz CZE,WB,22-058,"Saturday September 21, 2024",0,0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,0,0,1,0,0.0,0.0,0.0,1,1,0,0,0,1,1,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,,30.06.2029,8.994612414411897
Sacha Boey,fr FRA,RB,24-176,"Saturday March 8, 2025",0,0,0.0,0.0,0.0,0.0,0,57,57,57,6,6,0,0,12,1,0.0,0.0,0.0,7,48,9,0,1,51,51,51,0,2,0,27,0,0.0,1,1,1,2,47,9,0,1,1,33.3,30.06.2028,27.082588086775363
Noah Atubolu,de GER,GK,22-245,"Saturday January 25, 2025",0,0,0.0,0.0,0.0,0.0,0,36,36,36,0,0,0,0,15,8,0.0,0.0,0.0,2,31,5,0,0,28,28,28,0,1,1,0,0,,0,0,0,0,20,0,0,0,1,100.0,-,35.01950488827349
El Chadaille Bitshiabu,fr FRA,CB,20-001,"Saturday May 17, 2025",0,0,0.0,0.0,0.0,0.0,1,56,56,56,3,3,0,0,22,7,0.0,0.0,0.0,0,51,5,0,0,53,53,53,0,6,1,1,1,,0,0,0,0,43,0,0,0,2,66.7,30.06.2029,33.17905669177618
Amine Adli,ma MAR,AM,24-302,"Saturday March 8, 2025",0,4,0.3,0.3,0.1,0.1,5,54,54,54,2,2,0,0,9,1,0.1,0.1,0.5,1,53,1,0,3,46,46,46,0,0,0,46,8,0.0,1,4,2,1,54,17,2,3,4,57.1,30.06.2030,45.773629636243314
Adam Hlozek,cz CZE,AM,22-066,"Sunday September 29, 2024",1,2,0.3,0.3,0.0,0.0,1,15,15,15,0,0,0,0,4,0,0.0,0.0,0.1,0,13,2,0,1,11,11,11,0,4,0,13,3,0.0,3,0,2,1,18,1,0,1,1,33.3,30.06.2029,32.90464668269607
Adam Hlozek,cz CZE,RW,22-185,"Sunday January 26, 2025",1,6,0.6,0.6,0.9,0.9,4,21,21,21,3,3,4,4,5,1,0.9,0.9,0.7,2,20,1,0,3,11,11,11,0,1,0,24,13,80.0,1,0,1,0,22,6,0,3,5,100.0,30.06.2029,157.73969906054725
Adam Hlozek,cz CZE,FW,22-094,"Sunday October 27, 2024",0,1,0.0,0.0,0.4,0.4,4,36,36,36,5,5,4,4,9,3,0.4,0.4,0.1,2,36,0,0,1,23,23,23,0,0,0,24,2,66.7,2,3,4,3,36,7,2,1,1,25.0,30.06.2029,41.64631575335355
Noah Atubolu,de GER,GK,22-281,"Sunday March 2, 2025",0,0,0.0,0.0,0.0,0.0,0,66,66,66,0,0,0,0,33,13,0.0,0.0,0.0,1,56,10,0,0,54,54,54,0,1,0,0,0,,0,0,0,0,42,0,0,0,0,,-,20.19665636688668
Can Uzun,tr TUR,AM,19-076,"Sunday January 26, 2025",0,0,0.0,0.0,0.1,0.1,2,25,25,25,5,5,1,1,13,1,0.1,0.1,0.1,3,25,0,1,0,21,21,21,0,1,0,10,1,100.0,0,2,2,2,30,3,1,0,0,,30.06.2029,14.528589189074305
Robin Koch,de GER,CB,28-193,"Sunday January 26, 2025",0,0,0.0,0.0,0.0,0.0,0,56,56,56,0,0,0,0,27,1,0.0,0.0,0.0,0,47,9,0,0,49,49,49,0,9,0,2,1,,0,0,1,1,39,0,0,0,2,40.0,30.06.2030,6.282628568939855
Robin Koch,de GER,CB,28-074,"Sunday September 29, 2024",0,1,0.1,0.1,0.0,0.0,0,64,64,64,3,3,0,0,37,8,0.0,0.0,0.0,5,61,3,0,0,59,59,59,0,2,0,3,3,,0,0,1,0,52,0,2,0,3,100.0,30.06.2030,30.236682455131287
Nicolas Seiwald,at AUT,CB,24-013,"Saturday May 17, 2025",0,0,0.0,0.0,0.0,0.0,0,54,54,54,5,5,0,0,27,3,0.0,0.0,0.0,6,53,1,0,0,50,50,50,0,5,0,3,0,0.0,1,2,0,1,44,0,2,0,0,0.0,30.06.2028,13.237162184750664
Robin Koch,de GER,CB,28-102,"Sunday October 27, 2024",0,1,0.1,0.1,0.0,0.0,2,77,77,77,0,0,0,0,35,6,0.0,0.0,0.0,0,73,4,0,0,70,70,70,0,4,0,1,1,,0,0,0,0,61,0,0,0,4,80.0,30.06.2030,12.795457468878153
Noah Atubolu,de GER,GK,22-287,"Saturday March 8, 2025",0,0,0.0,0.0,0.0,0.0,0,37,37,37,0,0,0,0,10,9,0.0,0.0,0.0,2,29,8,0,0,26,26,26,0,0,0,0,0,,0,0,0,0,20,0,0,0,0,,-,18.259842594666733
Nicolas Seiwald,at AUT,CM,23-308,"Saturday March 8, 2025",0,0,0.0,0.0,0.0,0.0,0,9,9,9,1,1,0,0,4,0,0.0,0.0,0.0,2,8,0,0,0,7,7,7,1,0,0,1,0,,0,0,0,0,5,0,1,0,0,,30.06.2028,9.612955743681148
Noah Atubolu,de GER,GK,22-133,"Saturday October 5, 2024",0,0,0.0,0.0,0.0,0.0,0,42,42,42,0,0,0,0,14,13,0.0,0.0,0.0,2,35,7,0,0,31,31,31,0,0,0,0,0,,0,0,0,0,21,0,0,0,0,0.0,-,22.15017281973808
Sacha Boey,fr FRA,RB,24-070,"Friday November 22, 2024",0,0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,1,1,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,,30.06.2028,5.939428441664349
Carney Chukwuemeka,eng ENG,LM,21-146,"Saturday March 15, 2025",0,3,0.3,0.3,0.0,0.0,3,9,9,9,2,2,0,0,1,0,0.0,0.0,0.1,1,9,0,0,0,8,8,8,0,0,0,12,6,0.0,0,1,4,0,12,3,1,0,0,,30.06.2028,25.145799228074644
Waldemar Anton,de GER,CB,28-181,"Friday January 17, 2025",0,1,0.0,0.0,0.0,0.0,5,91,91,91,12,12,3,3,35,6,0.0,0.0,0.1,14,83,8,0,1,83,83,83,0,2,0,17,0,100.0,0,3,1,2,70,2,0,1,2,100.0,30.06.2028,52.31303702023064
El Chadaille Bitshiabu,fr FRA,CB,19-303,"Saturday March 15, 2025",0,1,0.1,0.1,0.0,0.0,0,28,28,28,1,1,0,0,10,1,0.0,0.0,0.0,1,27,0,0,0,17,17,17,1,8,0,4,1,,0,0,3,0,17,0,0,0,1,50.0,30.06.2029,15.121764878522464
Sacha Boey,fr FRA,RB,24-246,"Saturday May 17, 2025",0,0,0.0,0.0,0.2,0.2,1,14,14,14,0,0,0,0,1,0,0.2,0.2,0.4,1,12,2,0,0,13,13,13,0,1,0,5,1,,0,0,0,1,10,1,0,0,0,,30.06.2028,23.513610805929474
Adam Hlozek,cz CZE,RW,22-177,"Saturday January 18, 2025",2,2,0.1,0.1,0.0,0.0,1,17,17,17,2,2,0,0,4,0,0.0,0.0,0.1,1,17,0,0,1,9,9,9,0,2,0,17,6,0.0,3,1,4,2,18,4,1,1,2,50.0,30.06.2029,43.84974785155141
Nicolas Seiwald,at AUT,CM,23-315,"Saturday March 15, 2025",0,0,0.0,0.0,0.0,0.0,4,41,41,41,8,8,0,0,9,3,0.0,0.0,0.1,7,40,1,0,0,33,33,33,0,4,0,7,1,,0,0,1,0,25,0,1,0,1,100.0,30.06.2028,31.081441962161527
Noah Atubolu,de GER,GK,22-294,"Saturday March 15, 2025",0,0,0.0,0.0,0.0,0.0,1,36,36,36,1,1,0,0,14,5,0.0,0.0,0.0,1,28,8,0,0,25,25,25,0,0,1,0,0,,0,0,0,0,17,0,0,0,1,100.0,-,27.324567792157975
Waldemar Anton,de GER,"CB,DM",28-253,"Sunday March 30, 2025",0,0,0.0,0.0,0.2,0.2,1,49,49,49,4,4,2,2,15,1,0.2,0.2,0.3,5,44,5,0,2,37,37,37,0,4,0,13,2,100.0,0,2,2,0,33,2,1,2,0,0.0,30.06.2028,29.30316630178254
Amine Adli,ma MAR,AM,25-001,"Sunday May 11, 2025",0,2,0.4,0.4,0.3,0.3,4,24,24,24,2,2,0,0,3,0,0.3,0.3,0.4,0,23,0,0,0,17,17,17,1,0,0,19,5,,0,0,1,0,22,1,2,0,2,100.0,30.06.2030,61.59000148117704
Robin Koch,de GER,CB,28-116,"Sunday November 10, 2024",0,0,0.0,0.0,0.0,0.0,0,42,42,42,0,0,0,0,20,3,0.0,0.0,0.0,0,38,4,0,0,37,37,37,0,4,0,0,0,,0,0,0,0,34,0,2,0,3,60.0,30.06.2030,1.0747827258360765
Waldemar Anton,de GER,CB,28-077,"Saturday October 5, 2024",0,0,0.0,0.0,0.0,0.0,1,117,117,117,8,8,2,2,57,9,0.0,0.0,0.0,5,111,6,1,2,100,100,100,0,3,0,6,1,100.0,0,3,1,0,97,0,3,2,3,50.0,30.06.2028,18.903226129898464
Waldemar Anton,de GER,CB,28-295,"Sunday May 11, 2025",0,0,0.0,0.0,0.0,0.0,0,43,43,43,4,4,0,0,20,3,0.0,0.0,0.0,1,41,2,0,0,38,38,38,0,10,0,3,0,,0,1,2,0,36,0,0,0,1,100.0,30.06.2028,10.575574687008075
Robin Koch,de GER,CB,28-298,"Sunday May 11, 2025",0,0,0.0,0.0,0.1,0.1,2,135,135,135,13,13,0,0,82,10,0.1,0.1,0.1,17,132,3,0,0,129,129,129,0,4,0,2,1,,0,0,1,0,123,1,1,0,6,75.0,30.06.2030,36.54728528335018
Adam Hlozek,cz CZE,AM,22-108,"Sunday November 10, 2024",0,2,0.1,0.1,0.0,0.0,1,12,12,12,4,4,0,0,8,0,0.0,0.0,0.0,3,12,0,0,0,11,11,11,0,0,0,8,2,0.0,1,1,0,0,13,3,0,0,2,100.0,30.06.2029,25.80915008365509
Can Uzun,tr TUR,"LM,AM",19-181,"Sunday May 11, 2025",0,1,0.3,0.3,0.0,0.0,2,16,16,16,0,0,2,2,7,0,0.0,0.0,0.0,2,16,0,0,0,14,14,14,0,0,0,6,1,66.7,1,0,0,0,16,4,0,0,1,100.0,30.06.2029,34.18734287538517
Can Uzun,tr TUR,AM,19-118,"Sunday March 9, 2025",0,1,0.0,0.0,0.1,0.1,3,28,28,28,3,3,1,1,7,1,0.1,0.1,0.1,0,28,0,0,1,22,22,22,0,0,0,17,2,100.0,0,0,2,0,28,7,0,1,0,,30.06.2029,13.106958575529376
El Chadaille Bitshiabu,fr FRA,CB,19-296,"Saturday March 8, 2025",0,2,0.1,0.1,0.0,0.0,1,45,45,45,2,2,0,0,18,2,0.0,0.0,0.0,2,40,5,0,0,41,41,41,0,8,0,4,2,,0,0,0,0,38,0,0,0,3,42.9,30.06.2029,29.82703578439172
Robin Koch,de GER,CB,28-184,"Friday January 17, 2025",0,0,0.0,0.0,0.0,0.0,0,39,39,39,1,1,0,0,14,1,0.0,0.0,0.0,0,32,7,0,0,34,34,34,0,9,0,1,0,,0,0,1,0,24,0,0,0,6,66.7,30.06.2030,-3.4154594243907255
Nicolas Seiwald,at AUT,CB,23-259,"Saturday January 18, 2025",0,0,0.0,0.0,0.1,0.1,2,59,59,59,7,7,0,0,17,4,0.1,0.1,0.0,6,56,3,0,2,45,45,45,0,5,0,6,0,0.0,1,0,0,0,50,1,4,2,2,33.3,30.06.2028,9.648654085679997
Can Uzun,tr TUR,AM,19-174,"Sunday May 4, 2025",0,0,0.0,0.0,0.0,0.0,0,7,7,7,1,1,0,0,1,0,0.0,0.0,0.0,0,7,0,0,0,5,5,5,0,0,0,1,0,,0,0,1,0,4,0,1,0,0,,30.06.2029,3.3533863255010186
Nicolas Seiwald,at AUT,CB,23-253,"Sunday January 12, 2025",0,0,0.0,0.0,0.4,0.4,3,67,67,67,1,1,1,1,26,6,0.4,0.4,0.2,1,61,6,0,4,55,55,55,0,5,1,8,0,100.0,0,2,0,2,57,0,0,4,2,66.7,30.06.2028,27.872181711538456
Noah Atubolu,de GER,GK,22-197,"Sunday December 8, 2024",0,0,0.0,0.0,0.0,0.0,0,53,53,53,0,0,0,0,24,14,0.0,0.0,0.0,0,46,7,0,0,43,43,43,0,0,0,0,0,,0,0,0,0,33,0,0,0,1,100.0,-,24.47370888847636
Noah Atubolu,de GER,GK,22-202,"Friday December 13, 2024",0,0,0.0,0.0,0.0,0.0,2,47,47,47,0,0,0,0,17,8,0.0,0.0,0.0,1,35,12,0,0,35,35,35,0,1,0,0,0,,0,0,0,0,28,0,0,0,0,,-,12.638594403124456
Sacha Boey,fr FRA,RB,24-218,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,2,42,42,42,3,3,2,2,12,1,0.0,0.0,0.0,3,38,4,0,1,40,40,40,0,2,0,19,1,66.7,1,0,0,1,34,5,1,1,1,100.0,30.06.2028,38.787321645048145
Sacha Boey,fr FRA,RB,24-092,"Saturday December 14, 2024",0,0,0.0,0.0,0.0,0.0,2,23,23,23,3,3,0,0,12,1,0.0,0.0,0.0,2,18,5,0,0,22,22,22,0,0,0,11,0,0.0,0,0,0,1,16,3,1,0,1,100.0,30.06.2028,20.261298441183087
Amine Adli,ma MAR,AM,24-113,"Saturday August 31, 2024",0,2,0.2,0.2,0.0,0.0,0,12,12,12,0,0,1,1,4,0,0.0,0.0,0.0,0,11,1,0,1,9,9,9,0,0,0,8,2,100.0,0,3,0,0,12,3,0,1,0,,30.06.2030,11.978490626288691
Adam Hlozek,cz CZE,FW,22-268,"Saturday April 19, 2025",0,1,0.0,0.0,0.0,0.0,0,12,12,12,2,2,2,2,5,2,0.0,0.0,0.0,2,12,0,0,1,9,9,9,0,0,0,9,3,66.7,0,0,0,0,15,1,0,1,0,,30.06.2029,43.946917015968396
Adam Hlozek,cz CZE,FW,22-086,"Saturday October 19, 2024",0,1,0.1,0.1,0.0,0.0,3,22,22,22,4,4,2,2,5,0,0.0,0.0,0.1,1,21,0,0,1,12,12,12,1,0,0,13,3,100.0,0,2,2,0,18,5,0,1,3,75.0,30.06.2029,18.370482571392174
El Chadaille Bitshiabu,fr FRA,CB,19-338,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,2,105,105,105,11,11,1,1,63,10,0.0,0.0,0.0,13,104,1,0,1,89,89,89,0,12,0,4,0,50.0,1,1,1,0,79,0,0,1,4,66.7,30.06.2029,37.329194604168435
Nicolas Seiwald,at AUT,CM,23-350,"Saturday April 19, 2025",0,0,0.0,0.0,0.7,0.7,6,63,63,63,9,9,0,0,15,5,0.7,0.7,0.7,9,51,12,2,11,46,46,46,0,0,0,23,2,0.0,1,0,2,0,44,4,1,11,3,75.0,30.06.2028,41.34566241344686
Nicolas Seiwald,at AUT,CM,23-119,"Saturday August 31, 2024",0,0,0.0,0.0,0.0,0.0,2,34,34,34,1,1,0,0,12,1,0.0,0.0,0.0,0,34,0,0,0,29,29,29,0,6,0,6,0,,0,0,0,0,27,0,0,0,0,,30.06.2028,18.009801361315617
El Chadaille Bitshiabu,fr FRA,CB,19-107,"Saturday August 31, 2024",0,0,0.0,0.0,0.0,0.0,0,36,36,36,1,1,0,0,17,8,0.0,0.0,0.0,2,36,0,0,0,33,33,33,0,5,1,1,0,,0,0,0,0,25,0,1,0,0,0.0,30.06.2029,34.08234742222763
Robin Koch,de GER,CB,28-270,"Sunday April 13, 2025",1,2,0.2,0.2,0.0,0.0,2,59,59,59,3,3,0,0,35,0,0.0,0.0,0.0,1,56,3,0,0,52,52,52,0,4,0,3,1,,0,0,0,0,40,0,0,0,5,55.6,30.06.2030,26.205600690000477
Can Uzun,tr TUR,AM,19-153,"Sunday April 13, 2025",0,1,0.0,0.0,0.0,0.0,5,23,23,23,6,6,1,1,7,3,0.0,0.0,0.0,4,22,1,0,0,19,19,19,0,0,0,13,1,33.3,2,2,1,0,23,2,0,0,0,,30.06.2029,22.008972971859947
Adam Hlozek,cz CZE,FW,22-143,"Sunday December 15, 2024",0,3,0.3,0.3,0.0,0.0,2,25,25,25,3,3,0,0,3,1,0.0,0.0,0.1,2,24,0,0,3,13,13,13,1,0,0,20,7,0.0,2,0,4,0,28,5,0,3,2,50.0,30.06.2029,24.889916081207154
Noah Atubolu,de GER,GK,22-147,"Saturday October 19, 2024",0,0,0.0,0.0,0.0,0.0,0,53,53,53,1,1,0,0,26,14,0.0,0.0,0.0,0,47,6,0,0,42,42,42,0,0,0,0,0,,0,0,0,0,35,0,0,0,0,,-,19.004534029109962
Noah Atubolu,de GER,GK,22-189,"Saturday November 30, 2024",0,0,0.0,0.0,0.0,0.0,0,40,40,40,0,0,0,0,21,5,0.0,0.0,0.0,0,36,4,0,0,31,31,31,0,0,0,0,0,,0,0,0,0,24,0,0,0,2,100.0,-,14.567669203270743
Adam Hlozek,cz CZE,FW,22-282,"Saturday May 3, 2025",1,3,0.3,0.3,0.1,0.1,8,19,19,19,2,2,1,1,8,0,0.1,0.1,0.1,0,18,1,0,2,12,12,12,0,0,0,21,7,100.0,0,3,4,1,21,5,0,2,0,,30.06.2029,37.9843664439952
El Chadaille Bitshiabu,fr FRA,CB,19-213,"Sunday December 15, 2024",0,0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0,0,1,0,0,0,0,,30.06.2029,10.68963034072872
Nicolas Seiwald,at AUT,"CB,CM",23-225,"Sunday December 15, 2024",0,1,0.0,0.0,0.1,0.1,4,60,60,60,1,1,2,2,18,4,0.1,0.1,0.1,3,51,8,0,6,50,50,50,1,3,0,12,0,100.0,0,0,0,0,49,0,0,6,1,100.0,30.06.2028,23.875676124441686
Robin Koch,de GER,CB,28-277,"Sunday April 20, 2025",0,0,0.0,0.0,0.0,0.0,0,73,73,73,4,4,0,0,38,4,0.0,0.0,0.0,3,72,1,0,0,63,63,63,0,13,1,3,3,,0,0,2,0,60,0,0,0,7,100.0,30.06.2030,29.968118118420684
Adam Hlozek,cz CZE,FW,22-136,"Sunday December 8, 2024",0,0,0.0,0.0,0.0,0.0,3,23,23,23,3,3,1,1,3,1,0.0,0.0,0.0,2,23,0,1,0,14,14,14,0,0,0,15,3,50.0,1,3,1,3,25,4,1,0,2,66.7,30.06.2029,26.00391361035527
Carney Chukwuemeka,eng ENG,AM,21-182,"Sunday April 20, 2025",0,1,0.0,0.0,0.3,0.3,7,31,31,31,4,4,1,1,5,0,0.3,0.3,0.3,2,30,1,0,1,22,22,22,0,0,0,20,4,50.0,1,0,1,1,22,3,0,1,5,83.3,30.06.2028,41.0981914577489
Waldemar Anton,de GER,CB,28-133,"Saturday November 30, 2024",0,0,0.0,0.0,0.0,0.0,0,14,14,14,1,1,0,0,9,2,0.0,0.0,0.0,0,13,1,0,0,12,12,12,0,3,0,0,0,,0,0,0,0,12,0,0,0,0,,30.06.2028,6.111127775659314
Waldemar Anton,de GER,CB,28-042,"Saturday August 31, 2024",0,2,0.1,0.1,0.0,0.0,1,60,60,60,2,2,0,0,31,8,0.0,0.0,0.0,1,57,3,0,1,54,54,54,0,6,1,5,4,,0,0,3,0,53,4,3,1,4,80.0,30.06.2028,14.78436573667381
Amine Adli,ma MAR,FW,24-351,"Saturday April 26, 2025",0,1,0.1,0.1,0.1,0.1,2,10,10,10,2,2,0,0,0,1,0.1,0.1,0.1,1,10,0,0,1,6,6,6,0,1,0,7,3,,0,0,0,0,9,3,0,1,2,66.7,30.06.2030,27.141112498353863
Can Uzun,tr TUR,RW,18-294,"Saturday August 31, 2024",0,0,0.0,0.0,0.0,0.0,1,3,3,3,1,1,0,0,2,0,0.0,0.0,0.0,0,3,0,0,0,3,3,3,0,0,0,3,0,0.0,1,0,0,1,4,1,1,0,0,,30.06.2029,2.8969407718276496
Sacha Boey,fr FRA,RB,24-225,"Saturday April 26, 2025",0,0,0.0,0.0,0.0,0.0,0,24,24,24,3,3,0,0,10,0,0.0,0.0,0.0,3,21,3,0,0,24,24,24,0,3,0,7,0,0.0,1,0,2,0,17,1,0,0,0,0.0,30.06.2028,6.7806896777050785
Nicolas Seiwald,at AUT,CB,23-217,"Saturday December 7, 2024",0,0,0.0,0.0,0.0,0.0,2,70,70,70,7,7,0,0,25,7,0.0,0.0,0.0,2,63,7,0,2,58,58,58,0,8,0,4,0,,0,0,1,0,50,0,1,2,0,0.0,30.06.2028,7.055130699978333
Waldemar Anton,de GER,CB,28-280,"Saturday April 26, 2025",1,1,0.1,0.1,0.0,0.0,1,80,80,80,4,4,0,0,49,3,0.0,0.0,0.0,6,80,0,0,1,74,74,74,0,5,0,8,3,0.0,0,0,0,0,70,3,1,1,0,,30.06.2028,51.01163567426143
Carney Chukwuemeka,eng ENG,AM,21-188,"Saturday April 26, 2025",0,0,0.0,0.0,0.2,0.2,1,11,11,11,1,1,0,0,0,0,0.2,0.2,0.2,0,10,1,0,0,9,9,9,0,0,0,11,3,0.0,0,1,0,0,11,6,0,0,0,0.0,30.06.2028,32.498258293033956
Robin Koch,de GER,CB,28-045,"Saturday August 31, 2024",0,0,0.0,0.0,0.0,0.0,0,66,66,66,6,6,0,0,34,7,0.0,0.0,0.0,3,64,2,0,0,62,62,62,0,11,0,0,0,,0,0,0,0,50,0,0,0,6,100.0,30.06.2030,14.52554708217518
